ID,X,Number_of_Overpopulated_Districts,Number_of_Modified_Blocks,Number_of_Affected_Districts,Median_Population_Size,Average_Population_Size,Standard_Deviation_Population_Size,Average_Convex_Hull_Score,Median_Convex_Hull_Score,improvement_blocks,improvement_districts
0,simulation_0_0.geojson,14,17,28,2289,2275.4634146341464,327.7638167220096,107373.89173650372,91702.3014539833,0.8070900391474554,0.8525445846020008
1,simulation_0_1.geojson,13,33,38,2287,2275.4634146341464,382.23963157373123,107895.713866209,92945.09397339053,0.8205741626794258,0.8412353197042193
2,simulation_0_2.geojson,13,42,42,2287,2275.4634146341464,375.3222286114747,107257.76596657406,95918.80558988987,0.8577642453240539,0.8577642453240539
3,simulation_0_3.geojson,11,53,48,2287,2275.4634146341464,340.9896467992984,106428.61979529606,92945.09397339053,0.7979556328838626,0.7772944758590692
4,simulation_0_4.geojson,10,62,50,2289,2275.4634146341464,333.38630899841843,106060.57262304507,92966.27279872462,0.7825141365811221,0.732927359721618
5,simulation_0_5.geojson,9,65,51,2287,2275.4634146341464,335.2213433843015,105627.50351835128,92945.09397339053,0.7422792518486299,0.6844280121792083
6,simulation_0_6.geojson,8,68,53,2287,2275.4634146341464,332.1874419681747,105670.85968389573,92945.09397339053,0.7020443671161374,0.6400608960417573
7,simulation_0_7.geojson,9,75,54,2289,2275.4634146341464,336.56909973501934,105588.30290224781,92267.5501025397,0.7836015658982166,0.6968247063940843
8,simulation_0_8.geojson,9,80,55,2289,2275.4634146341464,332.03192846380335,105947.26161981755,92267.5501025397,0.8042627229230099,0.700956937799043
9,simulation_0_9.geojson,8,85,56,2289,2275.4634146341464,328.5246526838307,106247.41531244337,92267.5501025397,0.772292301000435,0.6524575902566333
5274,simulation_52_74.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5275,simulation_52_75.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5276,simulation_52_76.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5277,simulation_52_77.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5278,simulation_52_78.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5279,simulation_52_79.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5280,simulation_52_80.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5281,simulation_52_81.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5282,simulation_52_82.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
5283,simulation_52_83.geojson,0,142,55,2299,2275.4634146341464,301.84121579429666,106008.50858639249,92100.86580927993,0.5867768595041323,0.22727272727272727
31616,simulation_316_16.geojson,6,114,65,2356,2275.4634146341464,321.9321100583248,108949.94014001387,94098.58962981323,0.7868638538494998,0.5843845150065246
31685,simulation_316_85.geojson,7,179,73,2356,2275.4634146341464,332.1082751715546,107016.97018793786,94386.93684673592,1.1080904741191822,0.6700739451935624
31699,simulation_316_99.geojson,3,191,74,2356,2275.4634146341464,319.7750821417086,107016.4500014267,94386.93684673592,0.9471509351892127,0.4636798608090474
92432,simulation_924_32.geojson,4,136,67,2355,2275.4634146341464,323.60196894684907,105967.45194106098,91702.3014539833,0.7725097868638539,0.4873858199217051
92433,simulation_924_33.geojson,4,137,67,2355,2275.4634146341464,323.60196894684907,105952.4930669662,91702.3014539833,0.7766420182688125,0.4873858199217051
31646,simulation_316_46.geojson,3,145,70,2353,2275.4634146341464,319.39805815342567,108909.54199947856,94255.89401538248,0.7570682905611135,0.4471509351892127
31647,simulation_316_47.geojson,3,146,70,2353,2275.4634146341464,319.1993645142131,108786.00962915429,94255.89401538248,0.7612005219660722,0.4471509351892127
31648,simulation_316_48.geojson,3,147,70,2353,2275.4634146341464,319.04011497304725,108787.13520720621,94255.89401538248,0.7653327533710308,0.4471509351892127
31650,simulation_316_50.geojson,3,147,70,2353,2275.4634146341464,319.0578932173757,108782.87053272886,94255.89401538248,0.7653327533710308,0.4471509351892127
31635,simulation_316_35.geojson,3,135,70,2352,2275.4634146341464,319.0654717920509,108739.64261091354,94386.93684673592,0.7157459765115268,0.4471509351892127
70769,simulation_707_69.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70770,simulation_707_70.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70771,simulation_707_71.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70772,simulation_707_72.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70773,simulation_707_73.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70774,simulation_707_74.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70775,simulation_707_75.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70776,simulation_707_76.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70777,simulation_707_77.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
70778,simulation_707_78.geojson,0,191,73,2287,2275.4634146341464,284.94279819062587,106192.09002659943,91702.3014539833,0.7892561983471075,0.30165289256198347
850,simulation_8_50.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
851,simulation_8_51.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
852,simulation_8_52.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
853,simulation_8_53.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
854,simulation_8_54.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
855,simulation_8_55.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
856,simulation_8_56.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
857,simulation_8_57.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
858,simulation_8_58.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
859,simulation_8_59.geojson,3,182,78,2325,2275.4634146341464,297.25567988570083,102674.05219580869,89294.63427942585,0.9099608525445846,0.4802087864288821
7364,simulation_73_64.geojson,6,200,78,2287,2275.4634146341464,315.8390929997951,105788.60757523522,85388.93480210444,1.142235754675946,0.6381035232709873
7372,simulation_73_72.geojson,4,209,77,2299,2275.4634146341464,315.74775397830314,105276.21065651572,85388.93480210444,1.0741626794258372,0.5287081339712918
7378,simulation_73_78.geojson,7,217,77,2287,2275.4634146341464,317.34710511669965,105464.61268226447,85388.93480210444,1.265115267507612,0.6866028708133971
7371,simulation_73_71.geojson,4,206,77,2289,2275.4634146341464,312.6388030803652,105316.1831561442,85506.04262921329,1.0617659852109613,0.5287081339712918
7373,simulation_73_73.geojson,5,212,77,2287,2275.4634146341464,324.744497112173,105291.73471120025,85506.04262921329,1.1391909525880817,0.5813397129186603
7375,simulation_73_75.geojson,6,213,77,2289,2275.4634146341464,316.7830434246117,105370.92170100358,85506.04262921329,1.1959547629404088,0.6339712918660287
7376,simulation_73_76.geojson,6,213,77,2287,2275.4634146341464,321.401166326623,105391.59693497249,85506.04262921329,1.1959547629404088,0.6339712918660287
7377,simulation_73_77.geojson,6,215,77,2283,2275.4634146341464,328.49937726524615,105108.36420627803,85506.04262921329,1.2042192257503261,0.6339712918660287
7379,simulation_73_79.geojson,7,220,77,2287,2275.4634146341464,321.5070631935272,105719.63115552225,85506.04262921329,1.277511961722488,0.6866028708133971
7393,simulation_73_93.geojson,2,215,77,2308,2275.4634146341464,313.3677537022211,105782.35214246585,85506.04262921329,0.9936929099608526,0.423444976076555
